,0
10,"{'id': 62904887, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '1200344', 'nomeIBGE': 'MANOEL URBANO', 'nomeIBGEsemAcento': 'MANOEL URBANO', 'pais': 'BRASIL', 'uf': {'sigla': 'AC', 'nome': 'ACRE'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 581350.0, 'quantidadeBeneficiados': 1684}"
11,"{'id': 66304642, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '1200351', 'nomeIBGE': 'MARECHAL THAUMATURGO', 'nomeIBGEsemAcento': 'MARECHAL THAUMATURGO', 'pais': 'BRASIL', 'uf': {'sigla': 'AC', 'nome': 'ACRE'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 852171.0, 'quantidadeBeneficiados': 2658}"
12,"{'id': 66102422, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '1200385', 'nomeIBGE': 'PLÁCIDO DE CASTRO', 'nomeIBGEsemAcento': 'PLACIDO DE CASTRO', 'pais': 'BRASIL', 'uf': {'sigla': 'AC', 'nome': 'ACRE'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 266134.0, 'quantidadeBeneficiados': 1449}"
13,"{'id': 67104567, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '1200807', 'nomeIBGE': 'PORTO ACRE', 'nomeIBGEsemAcento': 'PORTO ACRE', 'pais': 'BRASIL', 'uf': {'sigla': 'AC', 'nome': 'ACRE'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 581937.0, 'quantidadeBeneficiados': 2554}"
14,"{'id': 74903626, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '1200393', 'nomeIBGE': 'PORTO WALTER', 'nomeIBGEsemAcento': 'PORTO WALTER', 'pais': 'BRASIL', 'uf': {'sigla': 'AC', 'nome': 'ACRE'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 492542.0, 'quantidadeBeneficiados': 1473}"
15,"{'id': 65802364, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '1200401', 'nomeIBGE': 'RIO BRANCO', 'nomeIBGEsemAcento': 'RIO BRANCO', 'pais': 'BRASIL', 'uf': {'sigla': 'AC', 'nome': 'ACRE'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 5123393.0, 'quantidadeBeneficiados': 20802}"
16,"{'id': 71002873, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '1200427', 'nomeIBGE': 'RODRIGUES ALVES', 'nomeIBGEsemAcento': 'RODRIGUES ALVES', 'pais': 'BRASIL', 'uf': {'sigla': 'AC', 'nome': 'ACRE'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 736385.0, 'quantidadeBeneficiados': 2360}"
17,"{'id': 66603584, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '1200435', 'nomeIBGE': 'SANTA ROSA DO PURUS', 'nomeIBGEsemAcento': 'SANTA ROSA DO PURUS', 'pais': 'BRASIL', 'uf': {'sigla': 'AC', 'nome': 'ACRE'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 423152.0, 'quantidadeBeneficiados': 1031}"
18,"{'id': 71302808, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '1200500', 'nomeIBGE': 'SENA MADUREIRA', 'nomeIBGEsemAcento': 'SENA MADUREIRA', 'pais': 'BRASIL', 'uf': {'sigla': 'AC', 'nome': 'ACRE'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 1977950.0, 'quantidadeBeneficiados': 6624}"
19,"{'id': 64304905, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '1200450', 'nomeIBGE': 'SENADOR GUIOMARD', 'nomeIBGEsemAcento': 'SENADOR GUIOMARD', 'pais': 'BRASIL', 'uf': {'sigla': 'AC', 'nome': 'ACRE'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 1048032.0, 'quantidadeBeneficiados': 3849}"
20,"{'id': 73303704, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '1200609', 'nomeIBGE': 'TARAUACÁ', 'nomeIBGEsemAcento': 'TARAUACA', 'pais': 'BRASIL', 'uf': {'sigla': 'AC', 'nome': 'ACRE'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 2548146.0, 'quantidadeBeneficiados': 6956}"
21,"{'id': 62904919, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '1200708', 'nomeIBGE': 'XAPURI', 'nomeIBGEsemAcento': 'XAPURI', 'pais': 'BRASIL', 'uf': {'sigla': 'AC', 'nome': 'ACRE'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 396041.0, 'quantidadeBeneficiados': 1919}"
22,"{'id': 68602487, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '2700102', 'nomeIBGE': 'ÁGUA BRANCA', 'nomeIBGEsemAcento': 'AGUA BRANCA', 'pais': 'BRASIL', 'uf': {'sigla': 'AL', 'nome': 'ALAGOAS'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 851437.0, 'quantidadeBeneficiados': 2767}"
23,"{'id': 67302958, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '2700201', 'nomeIBGE': 'ANADIA', 'nomeIBGEsemAcento': 'ANADIA', 'pais': 'BRASIL', 'uf': {'sigla': 'AL', 'nome': 'ALAGOAS'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 458752.0, 'quantidadeBeneficiados': 2534}"
24,"{'id': 66302386, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '2700300', 'nomeIBGE': 'ARAPIRACA', 'nomeIBGEsemAcento': 'ARAPIRACA', 'pais': 'BRASIL', 'uf': {'sigla': 'AL', 'nome': 'ALAGOAS'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 3386638.0, 'quantidadeBeneficiados': 17762}"
25,"{'id': 63204514, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '2700409', 'nomeIBGE': 'ATALAIA', 'nomeIBGEsemAcento': 'ATALAIA', 'pais': 'BRASIL', 'uf': {'sigla': 'AL', 'nome': 'ALAGOAS'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 1375879.0, 'quantidadeBeneficiados': 7197}"
26,"{'id': 68102881, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '2700508', 'nomeIBGE': 'BARRA DE SANTO ANTÔNIO', 'nomeIBGEsemAcento': 'BARRA DE SANTO ANTONIO', 'pais': 'BRASIL', 'uf': {'sigla': 'AL', 'nome': 'ALAGOAS'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 705144.0, 'quantidadeBeneficiados': 3741}"
27,"{'id': 76603429, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '2700607', 'nomeIBGE': 'BARRA DE SÃO MIGUEL', 'nomeIBGEsemAcento': 'BARRA DE SAO MIGUEL', 'pais': 'BRASIL', 'uf': {'sigla': 'AL', 'nome': 'ALAGOAS'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 247289.0, 'quantidadeBeneficiados': 1174}"
28,"{'id': 66804181, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '2700706', 'nomeIBGE': 'BATALHA', 'nomeIBGEsemAcento': 'BATALHA', 'pais': 'BRASIL', 'uf': {'sigla': 'AL', 'nome': 'ALAGOAS'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 732284.0, 'quantidadeBeneficiados': 3154}"
29,"{'id': 68605061, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '2700805', 'nomeIBGE': 'BELÉM', 'nomeIBGEsemAcento': 'BELEM', 'pais': 'BRASIL', 'uf': {'sigla': 'AL', 'nome': 'ALAGOAS'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 181881.0, 'quantidadeBeneficiados': 839}"
30,"{'id': 69402244, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '2700904', 'nomeIBGE': 'BELO MONTE', 'nomeIBGEsemAcento': 'BELO MONTE', 'pais': 'BRASIL', 'uf': {'sigla': 'AL', 'nome': 'ALAGOAS'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 308265.0, 'quantidadeBeneficiados': 1259}"
31,"{'id': 64903073, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '2701001', 'nomeIBGE': 'BOCA DA MATA', 'nomeIBGEsemAcento': 'BOCA DA MATA', 'pais': 'BRASIL', 'uf': {'sigla': 'AL', 'nome': 'ALAGOAS'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 746041.0, 'quantidadeBeneficiados': 3485}"
32,"{'id': 65703388, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '2701100', 'nomeIBGE': 'BRANQUINHA', 'nomeIBGEsemAcento': 'BRANQUINHA', 'pais': 'BRASIL', 'uf': {'sigla': 'AL', 'nome': 'ALAGOAS'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 317805.0, 'quantidadeBeneficiados': 1857}"
33,"{'id': 65403691, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '2701209', 'nomeIBGE': 'CACIMBINHAS', 'nomeIBGEsemAcento': 'CACIMBINHAS', 'pais': 'BRASIL', 'uf': {'sigla': 'AL', 'nome': 'ALAGOAS'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 441611.0, 'quantidadeBeneficiados': 1946}"
34,"{'id': 71803264, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '2701308', 'nomeIBGE': 'CAJUEIRO', 'nomeIBGEsemAcento': 'CAJUEIRO', 'pais': 'BRASIL', 'uf': {'sigla': 'AL', 'nome': 'ALAGOAS'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 590116.0, 'quantidadeBeneficiados': 3273}"
35,"{'id': 72202885, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '2701357', 'nomeIBGE': 'CAMPESTRE', 'nomeIBGEsemAcento': 'CAMPESTRE', 'pais': 'BRASIL', 'uf': {'sigla': 'AL', 'nome': 'ALAGOAS'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 271222.0, 'quantidadeBeneficiados': 1373}"
36,"{'id': 69604398, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '2701407', 'nomeIBGE': 'CAMPO ALEGRE', 'nomeIBGEsemAcento': 'CAMPO ALEGRE', 'pais': 'BRASIL', 'uf': {'sigla': 'AL', 'nome': 'ALAGOAS'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 891954.0, 'quantidadeBeneficiados': 5543}"
37,"{'id': 68902813, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '2701506', 'nomeIBGE': 'CAMPO GRANDE', 'nomeIBGEsemAcento': 'CAMPO GRANDE', 'pais': 'BRASIL', 'uf': {'sigla': 'AL', 'nome': 'ALAGOAS'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 630795.0, 'quantidadeBeneficiados': 2215}"
38,"{'id': 70804777, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '2701605', 'nomeIBGE': 'CANAPI', 'nomeIBGEsemAcento': 'CANAPI', 'pais': 'BRASIL', 'uf': {'sigla': 'AL', 'nome': 'ALAGOAS'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 1143155.0, 'quantidadeBeneficiados': 4114}"
39,"{'id': 72604916, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '2701704', 'nomeIBGE': 'CAPELA', 'nomeIBGEsemAcento': 'CAPELA', 'pais': 'BRASIL', 'uf': {'sigla': 'AL', 'nome': 'ALAGOAS'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 426397.0, 'quantidadeBeneficiados': 2074}"
40,"{'id': 76003899, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '2701803', 'nomeIBGE': 'CARNEIROS', 'nomeIBGEsemAcento': 'CARNEIROS', 'pais': 'BRASIL', 'uf': {'sigla': 'AL', 'nome': 'ALAGOAS'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 491516.0, 'quantidadeBeneficiados': 1665}"
41,"{'id': 73904508, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '2701902', 'nomeIBGE': 'CHÃ PRETA', 'nomeIBGEsemAcento': 'CHA PRETA', 'pais': 'BRASIL', 'uf': {'sigla': 'AL', 'nome': 'ALAGOAS'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 335554.0, 'quantidadeBeneficiados': 1171}"
42,"{'id': 63004620, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '2702009', 'nomeIBGE': 'COITÉ DO NÓIA', 'nomeIBGEsemAcento': 'COITE DO NOIA', 'pais': 'BRASIL', 'uf': {'sigla': 'AL', 'nome': 'ALAGOAS'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 310497.0, 'quantidadeBeneficiados': 1435}"
43,"{'id': 67105139, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '2702108', 'nomeIBGE': 'COLÔNIA LEOPOLDINA', 'nomeIBGEsemAcento': 'COLONIA LEOPOLDINA', 'pais': 'BRASIL', 'uf': {'sigla': 'AL', 'nome': 'ALAGOAS'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 817811.0, 'quantidadeBeneficiados': 3983}"
44,"{'id': 75004539, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '2702207', 'nomeIBGE': 'COQUEIRO SECO', 'nomeIBGEsemAcento': 'COQUEIRO SECO', 'pais': 'BRASIL', 'uf': {'sigla': 'AL', 'nome': 'ALAGOAS'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 114179.0, 'quantidadeBeneficiados': 664}"
45,"{'id': 75602355, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '2702306', 'nomeIBGE': 'CORURIPE', 'nomeIBGEsemAcento': 'CORURIPE', 'pais': 'BRASIL', 'uf': {'sigla': 'AL', 'nome': 'ALAGOAS'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 866185.0, 'quantidadeBeneficiados': 4883}"
46,"{'id': 76504682, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '2702355', 'nomeIBGE': 'CRAÍBAS', 'nomeIBGEsemAcento': 'CRAIBAS', 'pais': 'BRASIL', 'uf': {'sigla': 'AL', 'nome': 'ALAGOAS'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 968656.0, 'quantidadeBeneficiados': 3603}"
47,"{'id': 64602708, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '2702405', 'nomeIBGE': 'DELMIRO GOUVEIA', 'nomeIBGEsemAcento': 'DELMIRO GOUVEIA', 'pais': 'BRASIL', 'uf': {'sigla': 'AL', 'nome': 'ALAGOAS'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 1188387.0, 'quantidadeBeneficiados': 5896}"
48,"{'id': 66004945, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '2702504', 'nomeIBGE': 'DOIS RIACHOS', 'nomeIBGEsemAcento': 'DOIS RIACHOS', 'pais': 'BRASIL', 'uf': {'sigla': 'AL', 'nome': 'ALAGOAS'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 276525.0, 'quantidadeBeneficiados': 1763}"
49,"{'id': 66904724, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '2702553', 'nomeIBGE': 'ESTRELA DE ALAGOAS', 'nomeIBGEsemAcento': 'ESTRELA DE ALAGOAS', 'pais': 'BRASIL', 'uf': {'sigla': 'AL', 'nome': 'ALAGOAS'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 576903.0, 'quantidadeBeneficiados': 2386}"
50,"{'id': 68303597, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '2702603', 'nomeIBGE': 'FEIRA GRANDE', 'nomeIBGEsemAcento': 'FEIRA GRANDE', 'pais': 'BRASIL', 'uf': {'sigla': 'AL', 'nome': 'ALAGOAS'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 850380.0, 'quantidadeBeneficiados': 4035}"
51,"{'id': 70902589, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '2702702', 'nomeIBGE': 'FELIZ DESERTO', 'nomeIBGEsemAcento': 'FELIZ DESERTO', 'pais': 'BRASIL', 'uf': {'sigla': 'AL', 'nome': 'ALAGOAS'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 99824.0, 'quantidadeBeneficiados': 624}"
52,"{'id': 65303877, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '2702801', 'nomeIBGE': 'FLEXEIRAS', 'nomeIBGEsemAcento': 'FLEXEIRAS', 'pais': 'BRASIL', 'uf': {'sigla': 'AL', 'nome': 'ALAGOAS'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 398250.0, 'quantidadeBeneficiados': 2029}"
53,"{'id': 67504277, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '2702900', 'nomeIBGE': 'GIRAU DO PONCIANO', 'nomeIBGEsemAcento': 'GIRAU DO PONCIANO', 'pais': 'BRASIL', 'uf': {'sigla': 'AL', 'nome': 'ALAGOAS'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 1501454.0, 'quantidadeBeneficiados': 5397}"
54,"{'id': 63204648, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '2703007', 'nomeIBGE': 'IBATEGUARA', 'nomeIBGEsemAcento': 'IBATEGUARA', 'pais': 'BRASIL', 'uf': {'sigla': 'AL', 'nome': 'ALAGOAS'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 472593.0, 'quantidadeBeneficiados': 2242}"
55,"{'id': 69502720, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '2703106', 'nomeIBGE': 'IGACI', 'nomeIBGEsemAcento': 'IGACI', 'pais': 'BRASIL', 'uf': {'sigla': 'AL', 'nome': 'ALAGOAS'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 1206315.0, 'quantidadeBeneficiados': 4589}"
56,"{'id': 71702291, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '2703205', 'nomeIBGE': 'IGREJA NOVA', 'nomeIBGEsemAcento': 'IGREJA NOVA', 'pais': 'BRASIL', 'uf': {'sigla': 'AL', 'nome': 'ALAGOAS'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 540666.0, 'quantidadeBeneficiados': 3214}"
57,"{'id': 62403058, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '2703304', 'nomeIBGE': 'INHAPI', 'nomeIBGEsemAcento': 'INHAPI', 'pais': 'BRASIL', 'uf': {'sigla': 'AL', 'nome': 'ALAGOAS'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 616959.0, 'quantidadeBeneficiados': 2577}"
58,"{'id': 64605080, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '2703403', 'nomeIBGE': 'JACARÉ DOS HOMENS', 'nomeIBGEsemAcento': 'JACARE DOS HOMENS', 'pais': 'BRASIL', 'uf': {'sigla': 'AL', 'nome': 'ALAGOAS'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 207384.0, 'quantidadeBeneficiados': 1085}"
59,"{'id': 76502462, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '2703502', 'nomeIBGE': 'JACUÍPE', 'nomeIBGEsemAcento': 'JACUIPE', 'pais': 'BRASIL', 'uf': {'sigla': 'AL', 'nome': 'ALAGOAS'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 165784.0, 'quantidadeBeneficiados': 1025}"
60,"{'id': 73905017, 'dataReferencia': '01/11/2019', 'municipio': {'codigoIBGE': '2703601', 'nomeIBGE': 'JAPARATINGA', 'nomeIBGEsemAcento': 'JAPARATINGA', 'pais': 'BRASIL', 'uf': {'sigla': 'AL', 'nome': 'ALAGOAS'}}, 'tipo': {'id': 1, 'descricao': 'Bolsa Família', 'descricaoDetalhada': 'Bolsa Família'}, 'valor': 363361.0, 'quantidadeBeneficiados': 1775}"
